name,price,status,shipping,free_returns,items_sold
Lenovo IdeaPad Flex 5i Chromebook Plus Intel i3 13th Gen 8 GB Memory (14′′),20000,Pre-Owned · Lenovo,1425,,
"Dell Latitude 7410 14"" i5-10th Gen, 16GB, 256GB NVME SSD, Webcam Windows 11 Pro",20900,Very Good - Refurbished · Dell · 256 GB,0,True,75
"Dell Latitude 5400 14"" 16GB 512GB I5-8365U Windows 11 Pro, Black",18000,Excellent - Refurbished · Dell · 512 GB,0,True,
"Microsoft Surface Pro 5 i5-7300U 8GB RAM 256GB NVMe 12.3"" Touchscreen Pls Read",5949,Pre-Owned · Microsoft · 256 GB,1000,True,
"Dell 15.6"" NVIDIA Gaming Laptop - Intel Quad Core i7 64GB RAM 4TB SSD Windows 11",28999,Out of Box Ready + 1 Year Warranty! Customize RAM & SSD,0,True,
Dell Latitude 3450 Laptop 14” FHD Core i5 13th Gen 16GB RAM 512GB SSD Win 11 Pro,41999,Excellent - Refurbished · Dell,0,True,80
"Windows Vista Home P 64 Bit 14"" - 15.6"" Laptop Notebook PC Computer DVDR WIFI",7998,Pre-Owned · 120 GB,2500,,61
Toshiba Ultra Light FULL HD 1080P Touch Screen Gaming Laptop - i5 SSD Wifi HDMI,16600,Pre-Owned · Toshiba,0,True,60
"Acer Aspire 14 AI Laptop 14"" Ultra 7 258V 32GB LPDDR5X RAM 1TB SSD Refurbished",53999,Certified - Refurbished · Acer,0,True,454
"Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 40GB",30999,Brand New · Lenovo · 40 GB,0,,
"Dell Latitude 5420 14 inch Laptop, Intel Core i7, 16GB RAM, 256GB SSD, Win11 Pro",29100,Pre-Owned · Dell,0,True,
HP Elitebook 840 G8  i7-11651G7  2.8GHz 16 GB RAM 512 GB SSD Laptop,29999,Pre-Owned · HP · 512 GB,0,True,374
Dell Latitude 5590 Laptop 15.6” FHD Core i7 16GB RAM 256GB SSD Windows 11 HDMI,31172,Good - Refurbished · Dell,0,True,218
"Apple MGN63LL/A MacBook Air 13.3"" WQXGA Apple M1 3.2GHz Apple M1 8GB RAM 256GB",37900,SSD MacOS Space Gray,0,True,753
"Microsoft Surface Laptop 3, 13.5"" Touch, Intel i7, 16GB RAM, 256GB SSD - Black",30999,Open Box · Microsoft,0,True,155
dell latitude E5550 15'6 NO touch screen 16gb ram 256SSD win11pro,12000,Pre-Owned · Dell · 16 GB,0,,
"Dell Latitude 5420 14"" i5-1145G7 16GB Ram 256GB SSD Windows 11 Pro Laptop Touch",19995,Pre-Owned · Dell · 256 GB,0,,703
"Dell Latitude 7490 14"" Laptop i5 8th Gen 128GB SSD 16GB RAM Win 11 Pro (CI)",16995,Very Good - Refurbished · Dell,0,True,
"Acer Aspire Go 15 15.6"" Laptop AMDRyzen5 16GB RAM 1TB SSD AG15-21PT Refurbished",33199,Certified - Refurbished · Acer,0,True,162
"Dell Latitude 5490 14"" i5-8250U@1.60GHz 16GB RAM 256GB NVMe Win 11 Pro WC854*!",9998,Pre-Owned · Dell,495,,
Windows XP PRO SP3 32 Bit Laptop Notebook PC Computer w/ DVD USB FREE SHIPPING,14999,Pre-Owned · 40 GB,0,True,211
"Dell Latitude 7300 13.3"" Business Laptop Core i5 8GB RAM 256GB SSD Windows 11",19596,Good - Refurbished · Dell,0,True,64
Dell Latitude 7390 Business Laptop 13” FHD Core i7 16GB RAM 512GB SSD Win 11 Pro,31270,Very Good - Refurbished · Dell,0,True,163
Dell Latitude 5420 Laptop 14” FHD Core i7 4.7GHz 16GB RAM 512GB SSD Win 11 Pro,34284,Good - Refurbished · Dell,0,True,141
"HP ZBook Studio G7 15""- i7 2.7GHz - 32GB RAM - 1TB SSD - Grade D",24999,Pre-Owned · HP,0,True,124
Microsoft Surface Laptop 3 1868 Intel Core i5-1035G7 CPU 1.2GHz 256GB 8GB *,14994,Pre-Owned · Microsoft,0,True,
"Lenovo IdeaPad Slim 3x 15.3"" Laptop -  Snapdragon X - 16GB - 1TB SSD - Open Box",37195,Open Box · Lenovo,0,True,
"HP EliteBook 845 G10 14"" Laptop, Ryzen 5 Pro 7, 16GB, 512GB SSD, Win11 Pro",39999,Excellent - Refurbished · HP · 512 GB,0,True,
"Acer Nitro V 15.6"" Laptop FHD i5-13420H 16GB DDR4 1TB SSD RTX 5050 Refurbished",66999,Certified - Refurbished · Acer,0,True,
"Lenovo ThinkPad T14 Gen 1 i7-10610U vPro 32GB RAM 512GB SSD 14"" FHD Win11 Pro",25999,Pre-Owned · Lenovo · 512 GB,0,,
